"cost" "color" "clarity" "carat"
"1" 849 "D" "VS2" 0.3
"2" 985 "E" "VS1" 0.3
"3" 985 "G" "VVS1" 0.3
"4" 822 "G" "VS1" 0.3
"5" 1071 "D" "VS1" 0.31
"6" 1015 "E" "VS1" 0.31
"7" 931 "F" "VS1" 0.31
"8" 931 "G" "VVS2" 0.31
"9" 735 "H" "VS2" 0.31
"10" 735 "I" "VS1" 0.31
"11" 958 "F" "VS1" 0.32
"12" 784 "G" "VS2" 0.32
"13" 866 "E" "VS2" 0.33
"14" 716 "I" "VS2" 0.33
"15" 1105 "E" "VS1" 0.34
"16" 1012 "F" "VS1" 0.34
"17" 920 "G" "VS1" 0.34
"18" 828 "G" "VS2" 0.34
"19" 859 "H" "VS1" 0.34
"20" 797 "H" "VS2" 0.34
"21" 1134 "E" "VS1" 0.35
"22" 1039 "F" "VS1" 0.35
"23" 944 "G" "VS1" 0.35
"24" 819 "H" "VS2" 0.35
"25" 1067 "F" "VS1" 0.36
"26" 969 "H" "VVS2" 0.36
"27" 926 "F" "VS2" 0.37
"28" 926 "H" "VS1" 0.37
"29" 1247 "F" "VS1" 0.4
"30" 995 "H" "VS1" 0.4
"31" 1276 "F" "VS1" 0.41
"32" 1140 "H" "VVS2" 0.43
"33" 1026 "I" "VS1" 0.45
"34" 1919 "E" "VVS2" 0.46
"35" 1652 "G" "VVS2" 0.48
"36" 2284 "E" "VS1" 0.5
"37" 2284 "E" "VS1" 0.5
"38" 2284 "F" "VVS2" 0.5
"39" 2148 "F" "VS1" 0.5
"40" 1968 "G" "VS1" 0.5
"41" 2327 "F" "VVS2" 0.51
"42" 2091 "G" "VS1" 0.51
"43" 2277 "D" "VS2" 0.52
"44" 2372 "E" "VS1" 0.52
"45" 2372 "F" "VVS2" 0.52
"46" 2230 "F" "VS1" 0.52
"47" 2558 "D" "VS1" 0.53
"48" 2415 "F" "VVS2" 0.53
"49" 2270 "F" "VS1" 0.53
"50" 2223 "G" "VVS2" 0.53
"51" 2458 "E" "VS1" 0.54
"52" 2653 "F" "VVS1" 0.54
"53" 2700 "E" "VVS2" 0.55
"54" 2352 "F" "VS1" 0.55
"55" 2302 "G" "VVS2" 0.55
"56" 2392 "F" "VS1" 0.56
"57" 1887 "I" "VVS2" 0.56
"58" 2382 "G" "VVS2" 0.57
"59" 2462 "G" "VVS2" 0.59
"60" 2800 "F" "VS1" 0.6
"61" 3813 "E" "VVS1" 0.62
"62" 2871 "G" "VVS2" 0.63
"63" 3105 "G" "VVS1" 0.64
"64" 2805 "H" "VVS1" 0.66
"65" 3595 "F" "VS1" 0.7
"66" 3342 "G" "VS1" 0.7
"67" 3342 "H" "VVS2" 0.7
"68" 2519 "I" "VS2" 0.7
"69" 3837 "F" "VVS2" 0.71
"70" 3644 "F" "VS1" 0.71
"71" 3388 "F" "VS2" 0.71
"72" 3388 "H" "VVS2" 0.71
"73" 3434 "F" "VS2" 0.72
"74" 3550 "I" "VVS2" 0.8
"75" 3228 "I" "VS2" 0.82
"76" 3722 "H" "VS2" 0.84
"77" 4440 "F" "VS2" 0.85
"78" 4490 "H" "VVS2" 0.86
"79" 4377 "H" "VS1" 0.89
"80" 4360 "I" "VVS2" 0.9
"81" 2284 "E" "VS1" 0.5
"82" 2239 "G" "VVS1" 0.5
"83" 2513 "F" "VVS1" 0.51
"84" 2352 "H" "IF" 0.55
"85" 2544 "E" "VS1" 0.56
"86" 2228 "H" "VVS1" 0.57
"87" 2800 "H" "IF" 0.6
"88" 4249 "E" "IF" 0.63
"89" 3784 "E" "VS1" 0.7
"90" 4101 "F" "VVS1" 0.7
"91" 3342 "F" "VS2" 0.7
"92" 3342 "F" "VS2" 0.7
"93" 3342 "G" "VS1" 0.7
"94" 3342 "H" "VVS2" 0.7
"95" 4157 "D" "VS1" 0.71
"96" 3837 "E" "VS1" 0.71
"97" 3388 "H" "VVS2" 0.71
"98" 3889 "E" "VS1" 0.72
"99" 3694 "H" "VVS1" 0.72
"100" 3744 "E" "VS2" 0.73
"101" 3282 "H" "VS1" 0.73
"102" 3282 "H" "VS1" 0.73
"103" 3084 "I" "VVS1" 0.73
"104" 2754 "I" "VS1" 0.73
"105" 3794 "G" "VVS2" 0.74
"106" 2991 "H" "VS2" 0.74
"107" 4807 "D" "VVS2" 0.75
"108" 3045 "I" "VVS2" 0.75
"109" 2841 "I" "VS1" 0.75
"110" 6449 "D" "IF" 0.76
"111" 4514 "F" "VVS1" 0.77
"112" 3514 "H" "VS1" 0.78
"113" 3153 "I" "VS2" 0.8
"114" 4669 "E" "VS2" 0.83
"115" 5011 "F" "VS1" 0.9
"116" 10166 "D" "VVS1" 1
"117" 7450 "D" "VS1" 1
"118" 6908 "E" "VS1" 1
"119" 6366 "E" "VS2" 1
"120" 9077 "F" "IF" 1
"121" 6908 "F" "VVS2" 1
"122" 6989 "F" "VS1" 1
"123" 6185 "F" "VS2" 1
"124" 6456 "G" "VVS2" 1
"125" 6276 "G" "VS1" 1
"126" 5982 "G" "VS2" 1
"127" 6004 "G" "VS2" 1
"128" 5734 "H" "VS2" 1
"129" 5281 "I" "VS1" 1
"130" 5101 "I" "VS2" 1
"131" 10444 "D" "VVS1" 1.01
"132" 6976 "E" "VS1" 1.01
"133" 6428 "E" "VS2" 1.01
"134" 6702 "F" "VS1" 1.01
"135" 6246 "F" "VS2" 1.01
"136" 5972 "H" "VS1" 1.01
"137" 5789 "H" "VS2" 1.01
"138" 5789 "I" "VVS1" 1.01
"139" 5516 "I" "VVS2" 1.01
"140" 5151 "I" "VS2" 1.01
"141" 6767 "F" "VS1" 1.02
"142" 6306 "F" "VS2" 1.02
"143" 6583 "G" "VVS2" 1.02
"144" 7111 "E" "VS1" 1.03
"145" 6897 "F" "VS1" 1.04
"146" 6239 "I" "IF" 1.04
"147" 5729 "I" "VVS2" 1.05
"148" 6357 "G" "VS2" 1.06
"149" 6069 "H" "VS2" 1.06
"150" 5836 "I" "VVS2" 1.07
"151" 6293 "H" "VS2" 1.1
"152" 537 "F" "VVS1" 0.18
"153" 499 "F" "VVS2" 0.18
"154" 524 "G" "IF" 0.18
"155" 524 "G" "IF" 0.18
"156" 460 "G" "VVS2" 0.18
"157" 473 "H" "IF" 0.18
"158" 631 "D" "VVS2" 0.19
"159" 685 "E" "IF" 0.19
"160" 631 "F" "IF" 0.19
"161" 563 "F" "VVS1" 0.19
"162" 522 "F" "VVS2" 0.19
"163" 549 "G" "IF" 0.19
"164" 522 "G" "VVS1" 0.19
"165" 495 "H" "IF" 0.19
"166" 574 "D" "VS1" 0.2
"167" 574 "G" "IF" 0.2
"168" 460 "G" "VS1" 0.2
"169" 416 "G" "VS2" 0.2
"170" 600 "D" "VS1" 0.21
"171" 750 "E" "IF" 0.21
"172" 690 "F" "IF" 0.21
"173" 600 "G" "IF" 0.21
"174" 782 "E" "IF" 0.22
"175" 814 "E" "IF" 0.23
"176" 748 "F" "IF" 0.23
"177" 649 "G" "IF" 0.23
"178" 723 "H" "IF" 0.24
"179" 969 "F" "IF" 0.25
"180" 837 "G" "IF" 0.25
"181" 750 "H" "IF" 0.25
"182" 706 "I" "IF" 0.25
"183" 1004 "F" "IF" 0.26
"184" 891 "F" "VVS1" 0.26
"185" 822 "F" "VVS2" 0.26
"186" 731 "I" "IF" 0.26
"187" 1041 "F" "IF" 0.27
"188" 804 "H" "IF" 0.27
"189" 782 "I" "IF" 0.28
"190" 960 "G" "IF" 0.29
"191" 808 "I" "IF" 0.29
"192" 1031 "E" "VVS2" 0.3
"193" 952 "F" "VVS2" 0.3
"194" 952 "G" "VVS1" 0.3
"195" 795 "H" "VVS2" 0.3
"196" 848 "I" "IF" 0.3
"197" 1062 "E" "VVS2" 0.31
"198" 1062 "F" "VVS1" 0.31
"199" 872 "I" "IF" 0.31
"200" 954 "H" "IF" 0.32
"201" 981 "H" "IF" 0.33
"202" 1157 "F" "VVS1" 0.34
"203" 1067 "F" "VVS2" 0.34
"204" 1188 "F" "VVS1" 0.35
"205" 1005 "G" "VVS2" 0.35
"206" 1485 "G" "IF" 0.4
"207" 1054 "I" "VVS1" 0.41
"208" 983 "I" "VVS2" 0.41
"209" 1730 "F" "VVS2" 0.47
"210" 1555 "F" "VS1" 0.48
"211" 2383 "G" "IF" 0.5
"212" 2428 "E" "VVS2" 0.51
"213" 2428 "F" "VVS1" 0.51
"214" 2019 "I" "IF" 0.52
"215" 2418 "F" "VVS2" 0.55
"216" 2655 "E" "VVS2" 0.56
"217" 2264 "G" "VVS2" 0.56
"218" 3152 "E" "VVS1" 0.58
"219" 2746 "F" "VVS1" 0.58
"220" 2493 "G" "VVS1" 0.58
"221" 3658 "G" "VVS1" 0.7
"222" 3475 "G" "VVS2" 0.7
"223" 4019 "D" "VS1" 0.71
"224" 3977 "F" "VVS2" 0.76
"225" 3873 "G" "VVS2" 0.78
"226" 6095 "H" "VVS2" 1
"227" 6337 "G" "VS1" 1.01
"228" 5789 "H" "VS2" 1.01
"229" 5334 "I" "VS1" 1.01
"230" 2465 "F" "VVS1" 0.5
"231" 2239 "G" "VVS1" 0.5
"232" 2513 "F" "VVS1" 0.51
"233" 2183 "E" "VS2" 0.52
"234" 2042 "H" "VVS1" 0.52
"235" 2606 "F" "VVS1" 0.53
"236" 2415 "F" "VVS2" 0.53
"237" 2302 "G" "VVS2" 0.55
"238" 2392 "F" "VS1" 0.56
"239" 2089 "F" "VS2" 0.56
"240" 2124 "F" "VS2" 0.57
"241" 2228 "H" "VVS1" 0.57
"242" 2474 "H" "IF" 0.58
"243" 2561 "G" "VS1" 0.6
"244" 2232 "G" "VS2" 0.6
"245" 2561 "H" "VVS1" 0.6
"246" 2359 "H" "VVS2" 0.61
"247" 2359 "I" "VVS2" 0.62
"248" 2469 "H" "VVS2" 0.64
"249" 2377 "I" "VVS2" 0.65
"250" 2805 "H" "VVS1" 0.66
"251" 4480 "E" "VVS1" 0.7
"252" 4101 "E" "VVS2" 0.7
"253" 3784 "G" "VVS1" 0.7
"254" 3595 "G" "VVS2" 0.7
"255" 2835 "H" "VS2" 0.7
"256" 4157 "G" "IF" 0.71
"257" 3388 "H" "VVS2" 0.71
"258" 3694 "H" "VVS1" 0.72
"259" 3479 "F" "VS2" 0.73
"260" 3941 "G" "VVS1" 0.73
"261" 3794 "H" "VVS1" 0.74
"262" 5618 "F" "IF" 0.8
"263" 4505 "F" "VS1" 0.8
"264" 4505 "G" "VVS2" 0.8
"265" 4186 "H" "VVS2" 0.8
"266" 3948 "H" "VS1" 0.8
"267" 5686 "E" "VVS1" 0.81
"268" 4559 "E" "VS2" 0.81
"269" 4559 "F" "VS1" 0.81
"270" 4238 "G" "VS1" 0.81
"271" 4801 "H" "IF" 0.81
"272" 4288 "F" "VS2" 0.82
"273" 4614 "G" "VVS2" 0.82
"274" 5454 "F" "VVS1" 0.85
"275" 4440 "F" "VS2" 0.85
"276" 5031 "G" "VVS1" 0.85
"277" 3807 "H" "VS2" 0.86
"278" 8987 "D" "VVS2" 1
"279" 9167 "E" "VVS1" 1
"280" 7450 "E" "VVS2" 1
"281" 6908 "E" "VS1" 1
"282" 7631 "F" "VVS1" 1
"283" 6908 "F" "VVS2" 1
"284" 6818 "G" "VVS1" 1
"285" 6456 "G" "VVS2" 1
"286" 6004 "G" "VS2" 1
"287" 6185 "H" "VVS1" 1
"288" 5914 "H" "VS1" 1
"289" 5734 "H" "VS2" 1
"290" 5734 "I" "VVS1" 1
"291" 5462 "I" "VVS2" 1
"292" 5281 "I" "VS1" 1
"293" 5101 "I" "VS2" 1
"294" 9075 "D" "VVS2" 1.01
"295" 7523 "E" "VVS2" 1.01
"296" 6976 "E" "VS1" 1.01
"297" 7706 "F" "VVS1" 1.01
"298" 6702 "F" "VS1" 1.01
"299" 6520 "G" "VVS2" 1.01
"300" 6063 "G" "VS2" 1.01
